id,order_id,user_id,product_id,inventory_item_id,status,created_at,sale_price,return_flag,cost,category,name,brand,retail_price,department,sku,distribution_center_id,first_name,last_name,email,age,gender,state,street_address,postal_code,city,country,latitude,longitude,traffic_source_x,traffic_source,price_margin,discount,is_discounted,order_day,return_probability
47152,32527,25927,15917,126845,Shipped,2022-01-11 17:00:23 UTC,3.5,0,1.6379999946802857,Plus,Keds Popcorn Socks in 3 Pack Different Style Great Colors,Keds,3.5,Women,7737A2600285AFE739FC99B6F0E9FD97,1,Melissa,Porter,melissaporter@example.org,32,F,Henan,61815 Jacob Crossing,453004,Binzhou,China,35.28393637,113.9100229,Search,YouTube,1.8620000053197143,0.0,0,1.0,0.6457738618099653
35614,24597,19501,12602,95873,Shipped,2022-02-03 11:39:37 UTC,3.75,0,2.137499994132668,Intimates,BASIC INVISIBLE CLEAR BRA STRAP BY DESIGNSK,DesignSK,3.75,Women,FD8979ADA2FD5BAB05E9C5F035A5C4C7,1,Diana,Hickman,dianahickman@example.org,56,F,Shanghai,6753 Johnson Mills Suite 994,200086,Tianjin,China,31.26113383,121.5015532,Search,Email,1.6125000058673322,0.0,0,3.0,0.6839136090663749
118582,81850,65231,12602,319464,Shipped,2020-10-14 00:37:33 UTC,3.75,0,2.137499994132668,Intimates,BASIC INVISIBLE CLEAR BRA STRAP BY DESIGNSK,DesignSK,3.75,Women,FD8979ADA2FD5BAB05E9C5F035A5C4C7,1,Jaime,Miller,jaimemiller@example.net,66,F,Massachusetts,611 Flynn Greens Suite 089,2131,Boston,United States,42.28427935,-71.12462267,Search,Adwords,1.6125000058673322,0.0,0,2.0,0.6431714496506555
35013,24172,19176,12551,94286,Shipped,2022-05-25 02:46:37 UTC,6.0,0,3.3119999952614307,Intimates,Maidenform Women's Bra Strap Holder,Maidenform,6.0,Women,8050F8F134054EFDDF34A0E90B21FCB4,9,Latoya,Reeves,latoyareeves@example.net,41,F,Florida,182 Oliver Isle Suite 719,32825,Union Park,United States,28.53406799,-81.2402674,Search,Email,2.6880000047385693,0.0,0,2.0,0.6722496111194423
117411,81029,64590,8987,316318,Shipped,2021-08-12 00:01:09 UTC,6.0,0,2.147999994456768,Socks & Hosiery,Hot Sox Cats Socks,Hot Sox,6.0,Women,74888D4E8F1B989420EDFB5B19659C77,10,Megan,Salazar,megansalazar@example.com,30,F,Tocantins,6910 Daniel Inlet Apt. 760,77760-000,Colinas do Tocantins,Brasil,-8.076360231,-48.529843,Search,Adwords,3.852000005543232,0.0,0,3.0,0.6558154700444455
56267,38841,30975,15260,151522,Complete,2021-04-30 22:31:32 UTC,6.0,0,3.258000008761883,Plus,Metallic Mesh Scarf,Symphony Designs,6.0,Women,4E4F8804BF781C81EA45E97AECB24427,2,Mackenzie,Mercer,mackenziemercer@example.net,29,F,Georgia,5350 Wilson Spur,30189,Woodstock,United States,34.13441874,-84.58422548,Search,Email,2.741999991238117,0.0,0,4.0,0.6671931749491007
58425,40348,32168,15260,157346,Complete,2021-07-16 12:40:32 UTC,6.0,0,3.258000008761883,Plus,Metallic Mesh Scarf,Symphony Designs,6.0,Women,4E4F8804BF781C81EA45E97AECB24427,2,Jessica,Eaton,jessicaeaton@example.net,35,F,California,3810 Susan Divide Suite 028,94941,Mill Valley,United States,37.88486733,-122.5532685,Search,Email,2.741999991238117,0.0,0,4.0,0.6676089983968293
179531,123926,99190,15260,484047,Complete,2022-05-03 06:12:41 UTC,6.0,0,3.258000008761883,Plus,Metallic Mesh Scarf,Symphony Designs,6.0,Women,4E4F8804BF781C81EA45E97AECB24427,2,Julie,Williams,juliewilliams@example.net,65,F,Beijing,34796 Adam Brooks,101509,Shanghai,China,40.35133051,116.7920656,Facebook,Adwords,2.741999991238117,0.0,0,1.0,0.6491394048447883
74807,51633,41142,28785,201414,Returned,2022-03-18 03:06:45 UTC,6.0,1,2.627999983727932,Accessories,Classic Wayfarer Style Sunglasses Large Lens Size - Red,FASH Limited,6.0,Men,091B26E964B0E771FBCC107AAD43186E,1,Michael,Davenport,michaeldavenport@example.org,55,M,Jeollabuk do,16866 Alvarez Estates Apt. 148,560-252,Jeonju City,South Korea,35.81773344,127.1221558,Search,Email,3.372000016272068,0.0,0,4.0,0.7821693392730334
129195,89172,71172,12572,348158,Returned,2021-12-03 14:04:05 UTC,6.0,1,3.4679999984800816,Intimates,Breast Petals by Fashion Forms Style 55x,Fashion Forms,6.0,Women,4CBA8B40E26654975D5ED2256EEBA2E2,10,Sandra,Clayton,sandraclayton@example.com,23,F,Chiba,28764 Banks Parkways,274-0073,Funabashi City,Japan,35.70177283,140.0420665,Search,Facebook,2.5320000015199184,0.0,0,4.0,0.6611528512291062
